"""CATEGORIE"",""LIBELLE"",""MOT_DIRECTEUR"",""STATUT"",""COMMUNE"",""RIVOLI"",""TENANT"",""ABOUTISSANT"",""BI_MIN"",""BP_MIN"",""BI_MAX"",""BP_MAX"",""DATE_CREATION"",""DATE_MODIFICATION"""
"Chemin,""Chemin des Canotiers"",""Canotiers"",""PUBLIQUE"",""BOUGUENAIS"",""0833"","""","""","""","""","""","""","""","""""
"Rue,""Rue des Amandiers"",""Amandiers"",""PRIVEE"",""CARQUEFOU"",""2020"",""CARQUEFOU Rue des Monceaux"","""",""1"",""2"",""9"",""8"","""","""""
"Hameau,""Hameau du Petit Raffuneau"",""Petit"",""PRIVEE"",""ORVAULT"",""A041"",""ORVAULT Rue du Raffuneau"","""",""1"",""2"",""29"",""30"","""","""""
"Allée,""Allée de l'Ecluse"",""Ecluse"",""PUBLIQUE"",""LE-PELLERIN"",""0365"",""LE-PELLERIN Chemin des Coteaux"","""","""","""","""","""","""","""""
"Allée,""Allée de l'Ile Neuve"",""Neuve"",""PRIVEE"",""SAINTE-LUCE-SUR-LOIRE"",""2818"",""SAINTE-LUCE-SUR-LOIRE Route de la Haie"","""","""",""2"","""",""6"","""","""""
"Place,""Place du champ de foire du Ragon"",""Ragon"",""PUBLIQUE"",""REZE"",""0624"",""REZE Rue du Vivier"","""","""","""","""","""","""","""""
"Rue,""Rue de l'Ermitage Saint-Hermeland"",""Saint-Hermeland"",""PRIVEE"",""INDRE"",""0470"",""INDRE Rue Gengembre"",""INDRE Quai Duquesne"","""","""","""","""","""","""""
"Rue,""Rue de la Gigonnerie"",""Gigonnerie"",""PRIVEE"",""BOUAYE"",""0250"",""BOUAYE Rue de l'Ancienne Eglise"","""",""1"",""2"",""3"",""2"","""","""""
"Chemin,""Chemin de la Chézinière"",""Chézinière"",""PUBLIQUE"",""SAUTRON"",""1125"",""SAUTRON Route des Tertreaux"",""SAUTRON VM 26"","""","""","""","""","""","""""
"Place,""Place Rosa Parks"",""Parks"",""PUBLIQUE"",""NANTES"",""7462"",""NANTES Rue d'Angleterre"",""NANTES Boulevard de Berlin"","""",""6"","""",""26"","""","""""
"Chemin,""Chemin des Jardiniers"",""Jardiniers"",""PUBLIQUE"",""BRAINS"",""0129"",""BRAINS Rue des Primevères"",""BRAINS Rue John Dos Passos"","""","""","""","""","""","""""
"Rue,""Rue de la Buissonade"",""Buissonade"",""PRIVEE"",""COUERON"",""0446"",""COUERON Rue des Rieux"",""COUERON Avenue du Chevalier de Beaulieu"",""1"",""2"",""15"",""10"","""","""""
"Résidence,""Résidence Le Village Cassard"",""Cassard"",""PRIVEE"",""NANTES"",""A131"",""NANTES Route de Vertou"","""",""69"","""",""69"","""","""","""""
"Allée,""Allée du Green"",""Green"",""PRIVEE"",""CARQUEFOU"",""2758"",""CARQUEFOU Boulevard de l'Epinay"","""",""9"",""2"",""11"",""20"","""","""""
"Allée,""Allée Jean Rostand"",""Rostand"",""PRIVEE"",""CARQUEFOU"",""2888"",""CARQUEFOU Rue Thomas Edison"","""",""5"",""6"",""19"",""16"","""","""""
"Rue,""Rue des Ceps"",""Ceps"",""PRIVEE"",""BOUAYE"",""0413"",""BOUAYE Rue des Coteaux de Grand-Lieu"","""","""","""","""","""","""","""""
"Allée,""Allée des Jardins"",""Jardins"",""PRIVEE"",""THOUARE-SUR-LOIRE"",""0628"",""THOUARE-SUR-LOIRE Rue du Moulin des Chal"","""",""1"",""2"",""3"",""4"","""","""""
"Chemin,""Chemin André Guilbaud"",""Guilbaud"",""PUBLIQUE"",""ST-SEBASTIEN"",""0029"",""ST-SEBASTIEN Boulevard des Pas Enchantés"","""",""3"","""",""3"","""","""","""""
"Impasse,""Impasse Marc Elder"",""Elder"",""PRIVEE"",""BASSE-GOULAINE"",""0808"",""BASSE-GOULAINE Impasse Constance de Théi"",""Impasse"",""1"","""",""5"","""","""","""""
